scene,latlng,latlng_cn
scene-000000,1630376940.000.json,"114.01386080140,22.60864561692","114.01889457347973,22.60582722548355"
scene-000001,1630376960.000.json,"114.01477934874,22.61030168005","114.01981547182604,22.6074862503989"
scene-000002,1630377005.000.json,"114.01685084473,22.61210890952","114.02189210363841,22.609299828828227"
scene-000003,1630377025.000.json,"114.01728234325,22.61228932847","114.02232465150065,22.609481532776865"
scene-000004,1630374714.000.json,"113.99975701278,22.59859672465","114.00475478408646,22.595734455447943"
scene-000005,1630374724.000.json,"113.99905183782,22.59812747822","114.00404779138213,22.595263004735617"
scene-000006,1630374744.000.json,"113.99769983056,22.59726198292","114.00269230262134,22.594393290088263"
scene-000007,1630374764.000.json,"113.99677820894,22.59663167148","114.001768307165,22.59376009934229"
scene-000008,1630374790.000.json,"113.99520644238,22.59561945836","114.00019250217396,22.592742991066807"
scene-000009,1630374810.000.json,"113.99508268641,22.59553801825","114.00006842851982,22.59266116572365"
scene-000010,1630374840.000.json,"113.99494144420,22.59449103180","113.99992676256926,22.591613610737515"
scene-000011,1630374860.000.json,"113.99525690541,22.59361192372","114.00024296373313,22.590735338546253"
scene-000012,1630374880.000.json,"113.99487934725,22.59318085115","113.99986442479367,22.59030306717904"
scene-000013,1630374924.000.json,"113.99159532720,22.59191292147","113.99657206565539,22.58902507272332"
scene-000014,1630374945.000.json,"113.98970470524,22.59118866681","113.99467667766434,22.588295057760746"
scene-000015,1630374965.000.json,"113.98854158509,22.59075464653","113.99351064199004,22.587857510385575"
scene-000016,1630374985.000.json,"113.98850370009,22.59074461858","113.9934726625125,22.58784736829832"
scene-000017,1630375009.000.json,"113.98714009718,22.59021493260","113.9921056583353,22.58731356188546"
scene-000018,1630375036.000.json,"113.98531222404,22.58951528159","113.99027326010255,22.586608420871556"
scene-000019,1630375114.000.json,"113.98357937152,22.58885220900","113.98853615760983,22.585940181616888"
scene-000020,1630375140.000.json,"113.98306472474,22.58866104992","113.9880202571331,22.585747496541515"
scene-000021,1630375290.000.json,"113.98018264875,22.58752092515","113.98513123197154,22.584598889385894"
scene-000022,1630375340.000.json,"113.97940064731,22.58749758922","113.98434738723043,22.584573310518437"
scene-000023,1630375370.000.json,"113.97887776837,22.58750866522","113.98382328358625,22.584582895862255"
scene-000024,1630375390.000.json,"113.97843659347,22.58751911225","113.9833810793271,22.584592088958185"
scene-000025,1630375430.000.json,"113.97830970724,22.58752101929","113.9832538976458,22.58459363584625"
scene-000026,1630375455.000.json,"113.97699355487,22.58757459426","113.98193470102046,22.58464349637327"
scene-000027,1630375645.000.json,"113.96510117206,22.58577930836","113.97001645108313,22.582816033705175"
scene-000028,1630375682.000.json,"113.96252833366,22.58590232210","113.96743854699793,22.582932615616723"
scene-000029,1630375704.000.json,"113.96073909266,22.58564394831","113.9656458810223,22.5826698384393"
scene-000030,1630375800.000.json,"113.95833670164,22.58497861432","113.96323903332296,22.581998704860073"
scene-000031,1630375834.000.json,"113.95588722304,22.58440349697","113.96078521731509,22.58141787447246"
scene-000032,1630375900.000.json,"113.95544726361,22.58415943589","113.96034449199675,22.581172790865548"
scene-000033,1630375920.000.json,"113.95541401316,22.58382385980","113.96031116380297,22.58083709932003"
scene-000034,1630376020.000.json,"113.96030494501,22.58479448989","113.96521086764548,22.581819229347925"
scene-000035,1630376050.000.json,"113.96030690797,22.58479364218","113.965212834208,22.58181838625253"
scene-000036,1630376070.000.json,"113.96030604361,22.58479159049","113.96521196810751,22.581816332234094"
scene-000037,1630376090.000.json,"113.96077640093,22.58491366547","113.96568321289712,22.581939556054234"
scene-000038,1630376111.000.json,"113.96258804859,22.58529176876","113.96749833857511,22.58232213452102"
scene-000039,1630376137.000.json,"113.96524450267,22.58517622998","113.97016003171767,22.582213245626956"
scene-000040,1630376256.000.json,"113.97699334421,22.58704824529","113.9819344562682,22.58411708077221"
scene-000041,1630376276.000.json,"113.97975727507,22.58708081877","113.98470482696963,22.58415750807933"
scene-000042,1630376290.000.json,"113.98129893760,22.58732418370","113.9862501556153,22.584405337850228"
scene-000043,1630376380.000.json,"113.98243020721,22.58772492084","113.98738415454172,22.584809402625137"
scene-000044,1630376435.000.json,"113.98542847999,22.58880007131","113.9903897539967,22.5858934614691"
scene-000045,1630376472.000.json,"113.98763663245,22.58964000467","113.99260338061596,22.58674003314196"
scene-000046,1630376540.000.json,"113.98869382540,22.59003751772","113.99366321357363,22.58714074235302"
scene-000047,1630376560.000.json,"113.99030783301,22.59065623432","113.99528127364783,22.587764360331906"
scene-000048,1630376580.000.json,"113.99201075882,22.59130758261","113.99698849927583,22.588420903059596"
scene-000049,1630376645.000.json,"113.99556755111,22.59266003689","114.00055433295536,22.589784264779333"
scene-000050,1630376665.000.json,"113.99725938748,22.59331722965","114.00225049074334,22.59044666720526"
scene-000051,1630376685.000.json,"113.99905436981,22.59423060343","114.0040500792851,22.59136560492679"
scene-000052,1630376705.000.json,"114.00033565322,22.59516083324","114.00533467045562,22.592299846472546"
scene-000053,1630376725.000.json,"114.00149154747,22.59638680241","114.00649357322523,22.593529488251836"
scene-000054,1630376745.000.json,"114.00261791403,22.59770223931","114.00762287749365,22.594848520907398"
scene-000055,1630378590.000.json,"114.02503295469,22.61970577752","114.03009383275123,22.616921241178904"
scene-000056,1630378619.000.json,"114.02484530230,22.62023287457","114.02990579041352,22.617447904614398"
scene-000057,1630378767.000.json,"114.02418280719,22.62344775028","114.02924200032605,22.620661476356815"
scene-000058,1630378810.000.json,"114.02429701739,22.62237037497","114.0293564005298,22.619584236869585"
scene-000059,1630378840.000.json,"114.02465235702,22.62058383407","114.0297124310117,22.617798385961756"
scene-000060,1630378860.000.json,"114.02465599035,22.62056665544","114.02971607146222,22.61778121457594"
scene-000061,1630378900.000.json,"114.02570208711,22.61768734082","114.03076434036421,22.614904324893654"
scene-000062,1630378950.000.json,"114.02407775546,22.61577208626","114.02913621189867,22.612984245949974"
scene-000063,1630378970.000.json,"114.02357209309,22.61549244123","114.02862937666224,22.612703140188955"
scene-000064,1630378990.000.json,"114.02260385336,22.61543210304","114.02765890736838,22.61264006794563"
scene-000065,1630379010.000.json,"114.02232863065,22.61515557506","114.02738303069573,22.61236271800326"
scene-000066,1630379070.000.json,"114.02349896566,22.61495126383","114.02855604673769,22.61216167081504"
scene-000067,1630379140.000.json,"114.02568435406,22.61623993821","114.03074647369391,22.6134566379624"
scene-000068,1630379160.000.json,"114.02662362131,22.61629370565","114.0316878419683,22.61351299968853"
scene-000069,1630379215.000.json,"114.02894917144,22.61282817881","114.0340182720362,22.610053238935173"
scene-000070,1630379260.000.json,"114.02715517269,22.61119777647","114.03222024099728,22.608417717085302"
scene-000071,1630379290.000.json,"114.02474872718,22.60977796714","114.02980831915148,22.606991054044173"
scene-000072,1630379364.000.json,"114.02090140654,22.61101512092","114.02595221685523,22.608217556533074"
scene-000073,1630379480.000.json,"114.01805962354,22.61277306769","114.02310382507142,22.609967605089302"
scene-000074,1630379500.000.json,"114.01682121143,22.61243550678","114.021862420091,22.609626390897816"
scene-000075,1630379520.000.json,"114.01531694847,22.61140635659","114.02035445121385,22.60859267830833"
scene-000076,1630379540.000.json,"114.01437384125,22.60990427447","114.01940894932571,22.607087589379024"
scene-000077,1630379600.000.json,"114.00957065564,22.60496121985","114.01459358222542,22.60212951058913"
scene-000078,1630379620.000.json,"114.00814114345,22.60340412444","114.01316039656217,22.600567897500824"
scene-000079,1630379640.000.json,"114.00676004141,22.60233026233","114.011775759024,22.59948972245484"
scene-000080,1630379684.000.json,"114.00404353180,22.60011243196","114.00905225698992,22.597263368834888"
scene-000081,1630379910.000.json,"113.99502660530,22.59553892172","114.00001220589786,22.59266189978218"
scene-000082,1630380180.000.json,"113.99002810213,22.60502630509","113.99500176691471,22.602135588100904"
scene-000083,1630380025.000.json,"113.99014070703,22.59603379805","113.995114075784,22.593142139637454"
scene-000084,1630380045.000.json,"113.99009229547,22.59786340287","113.99506566088523,22.594971851455902"
scene-000085,1630380120.000.json,"113.99035818447,22.60236639394","113.99533250150034,22.599476276249078"
scene-000086,1630380140.000.json,"113.98994537306,22.60367820024","113.99491874531209,22.600787037673687"
scene-000087,1631497118.000.json,"113.99379019110,22.60363676830","113.99877319411267,22.600757153871438"
scene-000088,1631497180.000.json,"113.99163595406,22.60181300131","113.99661342926537,22.59892663637331"
scene-000089,1631497230.000.json,"113.99192756792,22.60016280742","113.99690566787375,22.597277083252298"
scene-000090,1631497274.000.json,"113.99058944770,22.59908002819","113.9955641310124,22.59619013522721"
scene-000091,1631497308.000.json,"113.99030321844,22.59774123445","113.99527710179736,22.594850297415324"
scene-000092,1631497430.000.json,"113.99401722722,22.59599721178","113.99900031169298,22.593117203258345"
scene-000093,1631497495.000.json,"113.99317389537,22.59636198298","113.99815488054601,22.59347948076258"
scene-000094,1631497564.000.json,"113.99032366051,22.59722597193","113.99529756180615,22.594335024821078"
scene-000095,1631497605.000.json,"113.99049190164,22.59894392720","113.99546633278055,22.596053722907513"
scene-000096,1631497630.000.json,"113.99131870221,22.59944531135","113.99629523139676,22.596557656833983"
scene-000097,1631497670.000.json,"113.99202944515,22.60068912935","113.99700783426087,22.59780378622016"
scene-000098,1631497690.000.json,"113.99178527655,22.60130208685","113.99676309301844,22.59841609727077"
scene-000099,1631497742.000.json,"113.99033879506,22.60278633607","113.99531309066253,22.59989622109632"
scene-000100,1631497891.000.json,"113.99328061413,22.60538418868","113.99826244677762,22.602503294603522"
scene-000101,1631497948.000.json,"113.99523871294,22.60634456220","114.00022554300608,22.60346972323643"
scene-000102,1631497968.000.json,"113.99530742822,22.60662566524","114.00029444988489,22.60375107612032"
scene-000103,1631498019.000.json,"113.99561314642,22.60730547972","114.00060098409008,22.604431917396713"
scene-000104,1631498083.000.json,"113.99569459634,22.60660987923","114.00068259514993,22.603736458844317"
scene-000105,1631498120.000.json,"113.99547131065,22.60727108496","114.00045878774455,22.60439708841205"
scene-000106,1631498225.000.json,"113.99482456942,22.60728715902","113.99981041453037,22.6044112095404"
scene-000107,1631498245.000.json,"113.99494682266,22.60678179207","113.9999329438595,22.603906136125627"
scene-000108,1631498265.000.json,"113.99526553135,22.60655933192","114.00025244294001,22.603684606173005"
scene-000109,1631498330.000.json,"113.99437755053,22.60594440451","113.99936218179313,22.603066903455133"
scene-000110,1631498386.000.json,"113.99208643099,22.60515444494","113.9970652495094,22.602269921339875"
scene-000111,1631495509.000.json,"113.99336586002,22.60447125534","113.99834784851241,22.60159048343902"
scene-000112,1631495590.000.json,"113.99571278503,22.60291284091","114.00070059230868,22.60003893039432"
scene-000113,1631495625.000.json,"113.99740841190,22.60315929817","114.00240052490776,22.600290558157887"
scene-000114,1631495706.000.json,"113.99823065638,22.60570808270","114.00322501611225,22.602842209902796"
scene-000115,1631495830.000.json,"113.99840256130,22.60916936460","114.0033975792037,22.606304534975756"
scene-000116,1631495770.000.json,"113.99877252516,22.60726703723","114.00376835839363,22.604403040777882"
scene-000117,1631521475.000.json,"113.97374747440,22.62206381535","113.97868345703394,22.619128766909625"
scene-000118,1631521535.000.json,"113.97463853362,22.62360714659","113.97957661465384,22.620674819489427"
scene-000119,1631521575.000.json,"113.97710662548,22.62323107208","113.98205031041357,22.620305575957616"
scene-000120,1631523915.000.json,"113.97705092823,22.59305411350","113.98199255643821,22.59012388552873"
scene-000121,1631523960.000.json,"113.97961501913,22.59289573757","113.98456260783348,22.589972768965943"
scene-000122,1631524055.000.json,"113.98257099703,22.59382403625","113.98752567233801,22.590909719248632"
scene-000123,1631524152.000.json,"113.98504888611,22.59529942223","113.99000965037574,22.592392549872958"
scene-000124,1631521612.000.json,"113.97717442941,22.62420771926","113.98211833316518,22.62128258105507"
